Most common page simhash values.

zetaweb=# select count(*), simhash_value from site_info group by simhash_value order by count(*) desc limit 500;
  count  |                                                          simhash_value                                                           
    3372 | 00101010110101000010111000000000100000111000010101110111101100011001110010000101001010010010110010100101001111100101001111111000
    3312 | 11011001110010011100010111110100001101010011101110000001001100001100010010111110001110001101111010001010110000000010001101011011
    3152 | 11010010001000100111000000101010011000000001100000010110000100110010011011100001000000011010110010001010110001010001000111100000
    3148 | 11010110001100000100000001110000001101110010111000110010110111101011001010010010001001000110110101001101010011011100000001011100
    3053 | 00110111100100111000010000000111101001010101111011011100000010110110111000111000010001110101100010101110001101110101000101011010
    3027 | 00011000110010100101110000010011110101111010011111010010100110111010000100101110010000110101100001000000001100010100010011110001
    2962 | 11001000110001101101110101101110101100010000111011110011000101011011001000000100000010001111001100011111001001011010111001111000
    2938 | 11011000101101010010001111100001101001100101000001011001010010011100010100110010000000000010000100011111010100110110010101100100
    2905 | 11011010100010001000010011100111011101110010100011010101101101111000001001111100111001001001100011111010101111010000111001010001
    2838 | 11001100111000110011011111001001111011111111011001111010001000000000000100100010111110010111010000111111010101100100000011011110
    2743 | 10101000101000000000000100100101101011000000001011011001000010000010001100000000011100001010110110010000011100001101000001110000
    2722 | 00011110100001010111101101010101110001010010000010110101101011001001111011100011010111000101101011100001101011011111011101101000
    2721 | 01000100001101011001101111001001100010100001011010110100100110110101100001111100010001110011011111011010101101111010101101101000
    2721 | 10110010111101000001010101100100001001110000001001010110100010011000101101010000010011001011100010110110011011101101111101111000
    2693 | 11001100101000000001110011110111011100111101011011010111100111111010011101000100001011001011100011111010000111010110111001111000
    2682 | 10000001000011010000110111110001100101110111011011111001100001110110111101000001011011111111111010111100100010100100000000110100
    2668 | 00110000101100010000010111101110101001110001000101100101001010110010101100111000110000110111000110100100001111101100111111011100
    2667 | 11111000001000110011011111001011110001000000011111011001000110100010001100011010011110001011110100011001100011101101001011011100
    2640 | 00001001100011110110101111001101010001100010000111010011011100111100101011011110010011101000001100100110001001111011010011110110
    2626 | 11110000110101001001000101100110101010100001001000001100100010111010101111010010011010111111101011111011010111101101011001011100
    2618 | 11011010101000101001000001100111000100100011100111001010100100001101101000010101011011010001010000111010111011110010101000100110
    2593 | 10001110010001010011111001100000010111111000001111001110110111111010011000111101011001001010111001111011100101100000011000001010
    2582 | 00010010110110110001110010101011111100110010001011110110110110011000101110010110010010001111110010110101100111111000011001111100
    2540 | 01001011100100100100111000110010010110101101100110100101110011100001101010010100110001000100000010111110001011000011101111000110
